Age,Earnings Past 12 Months,Usual Weekly Hours,Female,Married,No High School Degree,High School Degree or GED,Some College,Associates Degree,Bachelors Degree,Masters Degree,Professional Degree,Doctorate,Employed,White,Black,American Indian or Native American,Asian,Hawaiian or Pacific Islander,Other Race,Biracial,Hispanic,Worked 40+ Weeks During Past 12 Months,Worked 35+ Hours in a Typical Week
44,010700,32,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,00
46,103000,40,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,01
61,066000,50,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,01
46,076000,40,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
63,000000,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,00
60,051000,40,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,01
51,000000,,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
61,038000,40,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
53,012000,04,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
56,060000,40,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,01
64,000000,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
64,045000,40,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
50,019400,37,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,01
52,000000,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
40,012000,10,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,00
55,000000,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,00
